Product_Id,Fixed_Unit_Price,Category_Id,Launch_Date
1117,13440.0,2019,2020-04-01
1118,2725.6,2049,2020-04-01
1118,2725.6,2010,2020-04-01
1119,16250.0,2020,2020-05-01
1120,1728.0,2005,2020-05-01
1121,5490.0,2005,2020-05-01
1121,5490.0,2048,2020-05-01
1122,8736.0,2019,2020-05-01
1123,2652.0,2004,2020-05-01
1123,2652.0,2049,2020-05-01
1124,5354.0,2018,2020-05-01
1124,5354.0,2049,2020-05-01
1125,57375.0,2020,2020-05-01
1125,57375.0,2050,2020-05-01
1126,21755.0,2050,2020-05-01
1126,21755.0,2020,2020-05-01
1127,3373.0,2002,2020-05-01
1127,3373.0,2049,2020-05-01
1128,15280.0,2015,2020-05-01
1129,23931.0,2033,2020-05-01
1129,23931.0,2021,2020-05-01
1130,26175.0,2015,2020-05-01
1131,19890.0,2022,2020-05-01
1132,3086.0,2002,2020-05-01
1132,3086.0,2049,2020-05-01
1133,18012.0,2020,2020-05-01
1134,28714.0,2033,2020-05-01
1134,28714.0,2014,2020-05-01
1135,2552.0,2011,2020-05-01
1136,2552.0,2048,2020-05-01
1136,2552.0,2005,2020-05-01
1137,16075.0,2033,2020-05-01
1137,16075.0,2013,2020-05-01
1138,19656.0,2023,2020-05-01
1138,19656.0,2046,2020-05-01
1139,18810.0,2015,2020-05-01
1139,18810.0,2046,2020-05-01
1140,1718.0,2005,2020-05-01
1140,1718.0,2048,2020-05-01
1141,17508.0,2015,2020-05-01
1142,31366.0,2023,2020-05-01
1142,31366.0,2046,2020-05-01
1143,23430.0,2015,2020-05-01
1143,23430.0,2046,2020-05-01
1144,25599.0,2023,2020-05-01
1145,2106.0,2001,2020-05-01
1146,4290.0,2048,2020-05-01
1146,4290.0,2005,2020-05-01
1147,46480.0,2006,2020-05-01
1148,41411.0,2013,2020-05-01
1148,41411.0,2033,2020-05-01
1149,2410.0,2048,2020-05-01
1149,2410.0,2005,2020-05-01
1150,2900.0,2005,2020-05-01
1150,2900.0,2048,2020-05-01
1151,2632.0,2048,2020-05-01
1151,2632.0,2007,2020-05-01
1152,2200.0,2011,2020-05-01
1152,2200.0,2049,2020-05-01
1153,2200.0,2011,2020-05-01
1153,2200.0,2049,2020-05-01
1154,4032.0,2002,2020-05-01
1155,5293.6,2016,2020-05-01
1156,11712.0,2011,2020-05-01
1157,9448.8,2011,2020-05-01
1158,1417.0,2048,2020-05-01
1158,1417.0,2005,2020-05-01
1159,25245.0,2023,2020-05-01
1160,8105.0,2047,2020-05-01
1160,8105.0,2019,2020-05-01
1161,6525.0,2047,2020-05-01
1161,6525.0,2019,2020-05-01
1162,2100.0,2048,2020-05-01
1162,2100.0,2005,2020-05-01
1163,1876.0,2048,2020-05-01
1163,1876.0,2005,2020-05-01
1164,2070.0,2007,2020-05-01
1164,2070.0,2048,2020-05-01
1165,645.0,2054,2020-05-01
1165,645.0,2003,2020-05-01
1166,11186.0,2013,2020-05-01
1166,11186.0,2033,2020-05-01
1167,1384.0,2048,2020-05-01
1167,1384.0,2005,2020-05-01
1168,645.0,2054,2020-05-01
1168,645.0,2003,2020-05-01
1169,645.0,2003,2020-05-01
1169,645.0,2053,2020-05-01
1170,645.0,2003,2020-05-01
1170,645.0,2053,2020-05-01
1171,806.0,2053,2020-05-01
1171,806.0,2003,2020-05-01
1172,806.0,2003,2020-05-01
1172,806.0,2053,2020-05-01
1173,806.0,2003,2020-05-01
1174,4257.0,2002,2020-05-01
1174,4257.0,2049,2020-05-01
1175,3762.0,2049,2020-05-01
1175,3762.0,2004,2020-05-01
1176,3465.0,2011,2020-05-01
1176,3465.0,2049,2020-05-01
1177,3465.0,2011,2020-05-01
1177,3465.0,2049,2020-05-01
1178,3465.0,2011,2020-05-01
1178,3465.0,2049,2020-05-01
1179,4160.0,2048,2020-05-01
1179,4160.0,2005,2020-05-01
1180,1856.0,2011,2020-05-01
1180,1856.0,2049,2020-05-01
1181,3762.0,2004,2020-05-01
1181,3762.0,2049,2020-05-01
1182,1626.3,2005,2020-05-01
1183,1716.3,2005,2020-05-01
1184,2016.0,2005,2020-05-01
1185,2000.7,2048,2020-05-01
1185,2000.7,2007,2020-05-01
1186,18750.0,2013,2020-05-01
1187,20720.0,2050,2020-05-01
1187,20720.0,2020,2020-05-01
1188,1900.0,2005,2020-05-01
1188,1900.0,2048,2020-05-01
1189,2480.0,2011,2020-05-01
1189,2480.0,2049,2020-05-01
1190,2000.0,2049,2020-05-01
1190,2000.0,2011,2020-05-01
1191,3993.6,2004,2020-05-01
1192,16500.0,2018,2020-05-01
1193,6093.75,2007,2020-05-01
1193,6093.75,2048,2020-05-01
1194,28213.0,2021,2020-05-01
1195,33769.0,2013,2020-05-01
1196,46283.0,2023,2020-05-01
1197,12720.0,2024,2020-05-01
1198,11000.0,2049,2020-05-01
1198,11000.0,2024,2020-05-01
1199,12640.0,2020,2020-05-01
1200,10400.0,2020,2020-05-01
1201,1425.0,2020,2020-05-01
1202,2400.0,2020,2020-05-01
1203,457.5,2020,2020-05-01
1204,3450.0,2020,2020-05-01
1205,11850.0,2020,2020-05-01
1206,7350.0,2020,2020-05-01
1207,112.5,2020,2020-05-01
1208,6525.0,2020,2020-05-01
1209,3525.0,2020,2020-05-01
1210,4650.0,2020,2020-05-01
1211,112.5,2020,2020-05-01
1212,127.5,2020,2020-05-01
1213,2400.0,2049,2020-05-01
1213,2400.0,2004,2020-05-01
1214,4257.0,2049,2020-05-01
1214,4257.0,2002,2020-05-01
1215,2160.0,2012,2020-05-01
1215,2160.0,2049,2020-05-01
1216,5420.0,2025,2020-05-01
1216,5420.0,2049,2020-05-01
1217,2240.0,2049,2020-05-01
1217,2240.0,2004,2020-05-01
1218,2540.0,2011,2020-05-01
1219,3248.8,2011,2020-05-01
1219,3248.8,2049,2020-05-01
1220,3264.0,2011,2020-05-01
1221,3712.0,2049,2020-05-01
1221,3712.0,2011,2020-05-01
1222,3173.6,2049,2020-05-01
1222,3173.6,2011,2020-05-01
1223,1560.0,2003,2020-05-01
1224,1560.0,2003,2020-05-01
1225,8032.0,2049,2020-05-01
1225,8032.0,2018,2020-05-01
1226,13608.0,2010,2020-05-01
1227,7744.0,2018,2020-05-01
1228,9262.4,2018,2020-05-01
1229,7744.0,2018,2020-05-01
1229,7744.0,2049,2020-05-01
1230,12402.0,2018,2020-05-01
1231,7744.0,2018,2020-05-01
1232,7956.0,2018,2020-05-01
1233,12402.0,2018,2020-05-01
1234,2992.0,2011,2020-05-01
1235,3993.6,2049,2020-05-01
1235,3993.6,2011,2020-05-01
1236,2720.0,2049,2020-05-01
1236,2720.0,2011,2020-05-01
1237,2992.0,2011,2020-05-01
1237,2992.0,2049,2020-05-01
1238,2652.0,2002,2020-05-01
1239,2496.0,2049,2020-05-01
1239,2496.0,2011,2020-05-01
1240,4096.0,2011,2020-05-01
1241,1840.0,2011,2020-05-01
1241,1840.0,2049,2020-05-01
1242,1665.6,2011,2020-05-01
1243,1665.6,2011,2020-05-01
1244,3437.6,2011,2020-05-01
1245,1878.0,2048,2020-05-01
1245,1878.0,2005,2020-05-01
1246,13600.0,2019,2020-05-01
