Customer_Id,Recommended_Product,Anchor_Month,Predict_Month,rule_score,Fixed_Unit_Price,pred_qty_adj,gross_revenue_adj,expected_revenue,Reason
196,1746,2025-06-01,2025-07-01,2.7353561223333767,880.0,1,880.0,205.392,Association rule(s): 1768
196,1770,2025-06-01,2025-07-01,2.463558355530864,880.0,1,880.0,205.392,Association rule(s): 1768
213,1166,2025-06-01,2025-07-01,1.3861476728495397,11186.0,1,11186.0,2610.8124,Association rule(s): 1044|1555
213,1167,2025-06-01,2025-07-01,0.9771131131064128,1384.0,1,1384.0,323.0256,Association rule(s): 1044
213,1137,2025-06-01,2025-07-01,0.8232221619387441,16075.0,1,16075.0,3751.9049999999997,Association rule(s): 1140|1555
326,1137,2025-06-01,2025-07-01,0.7993780037876616,16075.0,1,16075.0,3751.9049999999997,Association rule(s): 1262
326,1163,2025-06-01,2025-07-01,0.4308434721692223,1876.0,1,1876.0,437.8584,Association rule(s): 1262
326,1164,2025-06-01,2025-07-01,0.401011105053534,2070.0,1,2070.0,483.138,Association rule(s): 1262
347,1162,2025-06-01,2025-07-01,7.474466066260597,2100.0,1,2100.0,490.14,Association rule(s): 1188|1363
347,1175,2025-06-01,2025-07-01,1.157572601639851,3762.0,1,3762.0,878.0508,Association rule(s): 1174|1241
347,1219,2025-06-01,2025-07-01,0.5223880111607838,3248.8,1,3248.8,758.2699200000001,Association rule(s): 1260
652,1164,2025-06-01,2025-07-01,1.9741846465188684,2070.0,1,2070.0,483.138,Association rule(s): 1137|1149|1151|1166|1555
652,1167,2025-06-01,2025-07-01,1.5671209056523172,1384.0,1,1384.0,323.0256,Association rule(s): 1044|1166
652,1163,2025-06-01,2025-07-01,0.5513366379642353,1876.0,1,1876.0,437.8584,Association rule(s): 1149|1151|1166
827,1160,2025-06-01,2025-07-01,1.766258507890052,8105.0,1,8105.0,1891.7069999999999,Association rule(s): 1161
827,1260,2025-06-01,2025-07-01,0.3090446491004276,3264.0,1,3264.0,761.8176,Association rule(s): 1175
875,1181,2025-06-01,2025-07-01,1.240921146610957,3762.0,1,3762.0,878.0508,Association rule(s): 1102|1175
875,1137,2025-06-01,2025-07-01,0.4570330704267262,16075.0,1,16075.0,3751.9049999999997,Association rule(s): 1140
875,1269,2025-06-01,2025-07-01,0.3805579761787787,1595.0,1,1595.0,372.27299999999997,Association rule(s): 1164
916,1137,2025-06-01,2025-07-01,0.2852910866395998,16075.0,1,16075.0,3751.9049999999997,Association rule(s): 1426
916,1044,2025-06-01,2025-07-01,0.2344421016390295,1384.0,1,1384.0,323.0256,Association rule(s): 1426
916,1166,2025-06-01,2025-07-01,0.1459176109303183,11186.0,1,11186.0,2610.8124,Association rule(s): 1426
