Customer_Id,Product_Id,Anchor_Month,Predict_Month,upsell_score,pred_next_qty,Qty_MA3,Last_Qty,incremental_qty,Fixed_Unit_Price,incr_revenue,expected_revenue
1180,1551,2025-06-01,2025-07-01,0.6391502221013345,1.0,0.0,0.0,1.0,36026.0,36026.0,19201.858
1180,4656,2025-06-01,2025-07-01,0.6391502221013345,1.0,0.0,0.0,1.0,19436.0,19436.0,10359.388
1180,5148,2025-06-01,2025-07-01,0.6391502221013345,1.0,0.0,0.0,1.0,15792.0,15792.0,8417.136
1188,2482,2025-06-01,2025-07-01,0.7188953874356446,1.0,0.0,0.0,1.0,44000.0,44000.0,23452.0
1193,1134,2025-06-01,2025-07-01,0.7055620541023111,1.0,0.0,0.0,1.0,28714.0,28714.0,15304.562000000002
1194,3106,2025-06-01,2025-07-01,0.5872287207689778,1.0,0.0,0.0,1.0,63184.0,63184.0,33677.072
1194,1911,2025-06-01,2025-07-01,0.5872287207689778,1.0,0.0,0.0,1.0,30982.5,30982.5,16513.6725
1195,3695,2025-06-01,2025-07-01,0.6143992339924094,1.0,0.0,0.0,1.0,13884.0,13884.0,7400.1720000000005
1195,3707,2025-06-01,2025-07-01,0.6143992339924094,1.0,0.0,0.0,1.0,7566.0,7566.0,4032.6780000000003
1195,4763,2025-06-01,2025-07-01,0.6143992339924094,1.0,0.0,0.0,1.0,7566.0,7566.0,4032.6780000000003
1199,2921,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,44460.0,44460.0,23697.18
1199,2949,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,22221.0,22221.0,11843.793000000001
120,5510,2025-06-01,2025-07-01,0.7071546526208052,1.0,0.0,0.0,1.0,28961.0,28961.0,15436.213000000002
120,5148,2025-06-01,2025-07-01,0.7071546526208052,1.0,0.0,0.0,1.0,15792.0,15792.0,8417.136
120,2443,2025-06-01,2025-07-01,0.67,3.0,2.0,2.0,1.0,13215.86,13215.86,7044.05338
1200,1363,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,1900.0,1900.0,1012.7
1201,1181,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,3762.0,3762.0,2005.1460000000002
1202,1971,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,68427.62,68427.62,36471.92146
1202,1911,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,30982.5,30982.5,16513.6725
1203,1140,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,1718.0,1718.0,915.6940000000001
1204,1163,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,1876.0,1876.0,999.908
1205,5112,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,37.0,37.0,19.721
1206,1414,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,7362.0,7362.0,3923.9460000000004
1206,1161,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,6525.0,6525.0,3477.8250000000003
1207,1140,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,1718.0,1718.0,915.6940000000001
1208,1239,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,2496.0,2496.0,1330.3680000000002
1209,3691,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,8659.04,8659.04,4615.268320000001
1209,1276,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,6824.0,6824.0,3637.192
121,5529,2025-06-01,2025-07-01,0.7178805190350517,1.0,0.0,0.0,1.0,36.0,36.0,19.188000000000002
121,5528,2025-06-01,2025-07-01,0.7178805190350517,1.0,0.0,0.0,1.0,34.0,34.0,18.122
121,5527,2025-06-01,2025-07-01,0.7178805190350517,1.0,0.0,0.0,1.0,32.0,32.0,17.056
1210,2408,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,29515.2,29515.2,15731.601600000002
1210,2443,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,13215.86,13215.86,7044.05338
1210,4459,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,12420.0,12420.0,6619.860000000001
1211,1163,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,1876.0,1876.0,999.908
1211,4327,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,800.0,800.0,426.40000000000003
1212,2545,2025-06-01,2025-07-01,0.7305620541023112,1.0,0.0,0.0,1.0,1760.0,1760.0,938.08
123,5151,2025-06-01,2025-07-01,0.6944755947087882,1.0,0.0,0.0,1.0,52650.0,52650.0,28062.45
123,5171,2025-06-01,2025-07-01,0.5183333333333333,7.0,5.5,5.0,1.5,4590.0,6885.0,3669.7050000000004
123,5170,2025-06-01,2025-07-01,0.505,4.0,2.0,3.0,1.0,7800.0,7800.0,4157.400000000001
128,1426,2025-06-01,2025-07-01,0.4816666666666667,16.0,14.0,10.0,2.0,3300.0,6600.0,3517.8
128,1181,2025-06-01,2025-07-01,0.4483333333333333,4.0,2.6666666666666665,3.0,1.0,3762.0,3762.0,2005.1460000000002
128,1555,2025-06-01,2025-07-01,0.4169206867741571,9.0,5.333333333333333,8.0,1.0,1795.0,1795.0,956.735
129,5508,2025-06-01,2025-07-01,0.7822461635244582,1.0,0.0,0.0,1.0,77200.0,77200.0,41147.600000000006
129,3218,2025-06-01,2025-07-01,0.667768929023956,3.0,1.6666666666666667,2.0,1.0,621.0,621.0,330.993
129,1185,2025-06-01,2025-07-01,0.6616666666666666,10.0,8.333333333333334,3.0,1.666666666666666,2000.7,3334.499999999999,1777.2884999999997
138,5516,2025-06-01,2025-07-01,0.663975326386894,1.0,0.0,0.0,1.0,110.0,110.0,58.63
138,5513,2025-06-01,2025-07-01,0.663975326386894,1.0,0.0,0.0,1.0,65.0,65.0,34.645
138,5515,2025-06-01,2025-07-01,0.663975326386894,1.0,0.0,0.0,1.0,56.0,56.0,29.848000000000003
140,5500,2025-06-01,2025-07-01,0.6825560434200328,1.0,0.0,0.0,1.0,17600.0,17600.0,9380.800000000001
140,3891,2025-06-01,2025-07-01,0.6825560434200328,1.0,0.0,0.0,1.0,8424.0,8424.0,4489.992
140,5509,2025-06-01,2025-07-01,0.6825560434200328,1.0,0.0,0.0,1.0,7378.4,7378.4,3932.6872
144,1039,2025-06-01,2025-07-01,0.205,4.0,4.0,4.0,0.0,36240.0,0.0,0.0
145,2359,2025-06-01,2025-07-01,0.7041348327173967,1.0,0.0,0.0,1.0,6404.0,6404.0,3413.3320000000003
145,1362,2025-06-01,2025-07-01,0.7041348327173967,1.0,0.0,0.0,1.0,883.5,883.5,470.9055
145,1844,2025-06-01,2025-07-01,0.7041348327173967,1.0,0.0,0.0,1.0,883.5,883.5,470.9055
149,5240,2025-06-01,2025-07-01,0.6171032201280662,1.0,0.0,0.0,1.0,47649.6,47649.6,25397.236800000002
156,1151,2025-06-01,2025-07-01,0.2833333333333333,5.0,5.0,5.0,0.0,2632.0,0.0,0.0
156,1039,2025-06-01,2025-07-01,0.245,6.0,3.0,6.0,0.0,36240.0,0.0,0.0
156,1639,2025-06-01,2025-07-01,0.2210180438585784,2.0,2.0,2.0,0.0,20718.75,0.0,0.0
159,1551,2025-06-01,2025-07-01,0.6624062633960395,1.0,0.0,0.0,1.0,36026.0,36026.0,19201.858
159,1150,2025-06-01,2025-07-01,0.6624062633960395,1.0,0.0,0.0,1.0,2900.0,2900.0,1545.7
159,4143,2025-06-01,2025-07-01,0.6624062633960395,1.0,0.0,0.0,1.0,2130.0,2130.0,1135.29
162,1175,2025-06-01,2025-07-01,0.465,4.0,2.6666666666666665,3.0,1.0,3762.0,3762.0,2005.1460000000002
162,1013,2025-06-01,2025-07-01,0.4383333333333333,15.0,6.666666666666667,13.0,2.0,1664.0,3328.0,1773.824
162,1181,2025-06-01,2025-07-01,0.3883333333333333,6.0,4.666666666666667,4.0,1.333333333333333,3762.0,5015.999999999999,2673.528
166,5176,2025-06-01,2025-07-01,0.6204809615507548,3.0,2.0,2.0,1.0,140.0,140.0,74.62
166,1815,2025-06-01,2025-07-01,0.6032263835224279,1.0,0.0,0.0,1.0,9536.0,9536.0,5082.688
166,5535,2025-06-01,2025-07-01,0.6032263835224279,1.0,0.0,0.0,1.0,120.0,120.0,63.96
178,2863,2025-06-01,2025-07-01,0.81,2.0,1.0,1.0,1.0,6000.0,6000.0,3198.0
178,2384,2025-06-01,2025-07-01,0.666065900659076,1.0,0.0,0.0,1.0,5440.0,5440.0,2899.52
