Product_Id,Category_Id,Fixed_Unit_Price,Anchor_Month,Predict_Month,move_pred,move_label,move_conf,priority,proba_0,proba_1,proba_2,proba_3,action
4263,2018,1676.0,2025-06-01,2025-07-01,3,Rise,0.4093833333333333,0.4093833333333333,0.23,0.30415,0.0564666666666666,0.4093833333333333,Increase buy; ensure availability; consider price lift
1526,2020,40162.5,2025-06-01,2025-07-01,3,Rise,0.4031933333333334,0.4031933333333334,0.212,0.2863066666666667,0.0985,0.4031933333333334,Increase buy; ensure availability; consider price lift
1946,2003,883.5,2025-06-01,2025-07-01,3,Rise,0.39856,0.39856,0.436,0.09212,0.07332,0.39856,Increase buy; ensure availability; consider price lift
1306,2019,6376.0,2025-06-01,2025-07-01,3,Rise,0.3968,0.3968,0.256,0.24676,0.10044,0.3968,Increase buy; ensure availability; consider price lift
1103,2002,3302.4,2025-06-01,2025-07-01,3,Rise,0.3946666666666667,0.3946666666666667,0.408,0.1529333333333333,0.0444,0.3946666666666667,Increase buy; ensure availability; consider price lift
2343,2003,741.0,2025-06-01,2025-07-01,3,Rise,0.3915266666666667,0.3915266666666667,0.438,0.0599466666666666,0.1105266666666666,0.3915266666666667,Increase buy; ensure availability; consider price lift
1551,2014,36026.0,2025-06-01,2025-07-01,3,Rise,0.3911466666666666,0.3911466666666666,0.392,0.0354666666666666,0.1813866666666666,0.3911466666666666,Increase buy; ensure availability; consider price lift
1387,2003,741.0,2025-06-01,2025-07-01,3,Rise,0.3876353333333333,0.3876353333333333,0.3278,0.2464733333333333,0.0380913333333333,0.3876353333333333,Increase buy; ensure availability; consider price lift
1160,2019,8105.0,2025-06-01,2025-07-01,3,Rise,0.3864,0.3864,0.16,0.2856,0.168,0.3864,Increase buy; ensure availability; consider price lift
4690,2021,27623.0,2025-06-01,2025-07-01,3,Rise,0.3839,0.3839,0.302,0.26524,0.04886,0.3839,Increase buy; ensure availability; consider price lift
2949,2006,22221.0,2025-06-01,2025-07-01,3,Rise,0.37944,0.37944,0.184,0.34816,0.0884,0.37944,Increase buy; ensure availability; consider price lift
3454,2013,17908.0,2025-06-01,2025-07-01,3,Rise,0.37534,0.37534,0.234,0.3166133333333333,0.0740466666666666,0.37534,Increase buy; ensure availability; consider price lift
1152,2011,2200.0,2025-06-01,2025-07-01,3,Rise,0.3751166666666666,0.3751166666666666,0.366,0.1828033333333333,0.07608,0.3751166666666666,Increase buy; ensure availability; consider price lift
5017,2013,19800.0,2025-06-01,2025-07-01,3,Rise,0.3744,0.3744,0.28,0.2532,0.0924,0.3744,Increase buy; ensure availability; consider price lift
1814,2003,883.5,2025-06-01,2025-07-01,3,Rise,0.3707,0.3707,0.326,0.25949,0.0438099999999999,0.3707,Increase buy; ensure availability; consider price lift
1115,2011,2000.0,2025-06-01,2025-07-01,3,Rise,0.36784,0.36784,0.274,0.28314,0.07502,0.36784,Increase buy; ensure availability; consider price lift
1009,2007,2800.0,2025-06-01,2025-07-01,3,Rise,0.3672933333333333,0.3672933333333333,0.348,0.2119,0.0728066666666666,0.3672933333333333,Increase buy; ensure availability; consider price lift
3476,2014,27373.0,2025-06-01,2025-07-01,3,Rise,0.36358,0.36358,0.364,0.2088199999999999,0.0636,0.36358,Increase buy; ensure availability; consider price lift
1263,2021,30896.0,2025-06-01,2025-07-01,3,Rise,0.3633999999999999,0.3633999999999999,0.31,0.2564499999999999,0.0701499999999999,0.3633999999999999,Increase buy; ensure availability; consider price lift
4550,2021,22300.0,2025-06-01,2025-07-01,3,Rise,0.35947,0.35947,0.302,0.2536066666666666,0.0849233333333333,0.35947,Increase buy; ensure availability; consider price lift
4656,2024,19436.0,2025-06-01,2025-07-01,3,Rise,0.3594066666666667,0.3594066666666667,0.428,0.1725533333333333,0.04004,0.3594066666666667,Increase buy; ensure availability; consider price lift
1043,2006,24692.5,2025-06-01,2025-07-01,3,Rise,0.35908,0.35908,0.236,0.2915933333333333,0.1133266666666666,0.35908,Increase buy; ensure availability; consider price lift
1362,2003,883.5,2025-06-01,2025-07-01,3,Rise,0.3534,0.3534,0.256,0.33852,0.05208,0.3534,Increase buy; ensure availability; consider price lift
1102,2004,2082.4,2025-06-01,2025-07-01,3,Rise,0.3516033333333332,0.3516033333333332,0.326,0.2471333333333333,0.0752633333333333,0.3516033333333332,Increase buy; ensure availability; consider price lift
1445,2016,5059.0,2025-06-01,2025-07-01,3,Rise,0.3466866666666667,0.3466866666666667,0.356,0.2254,0.0719133333333333,0.3466866666666667,Increase buy; ensure availability; consider price lift
3033,2020,43929.6,2025-06-01,2025-07-01,3,Rise,0.3453566666666667,0.3453566666666667,0.426,0.1540233333333333,0.07462,0.3453566666666667,Increase buy; ensure availability; consider price lift
1771,2003,520.0,2025-06-01,2025-07-01,3,Rise,0.3434166666666666,0.3434166666666666,0.366,0.2145033333333333,0.07608,0.3434166666666666,Increase buy; ensure availability; consider price lift
3330,2006,73350.0,2025-06-01,2025-07-01,3,Rise,0.34071,0.34071,0.446,0.07756,0.13573,0.34071,Increase buy; ensure availability; consider price lift
2109,2020,39000.0,2025-06-01,2025-07-01,3,Rise,0.33888,0.33888,0.424,0.15648,0.08064,0.33888,Increase buy; ensure availability; consider price lift
3390,2011,1800.0,2025-06-01,2025-07-01,3,Rise,0.3354666666666666,0.3354666666666666,0.32,0.2991999999999999,0.0453333333333333,0.3354666666666666,Increase buy; ensure availability; consider price lift
1363,2007,1900.0,2025-06-01,2025-07-01,3,Rise,0.3345,0.3345,0.108,0.3240933333333333,0.2334066666666666,0.3345,Increase buy; ensure availability; consider price lift
2106,2020,27000.0,2025-06-01,2025-07-01,3,Rise,0.32946,0.32946,0.316,0.3271799999999999,0.02736,0.32946,Increase buy; ensure availability; consider price lift
2067,2020,43875.0,2025-06-01,2025-07-01,3,Rise,0.324,0.324,0.352,0.2106,0.1134,0.324,Increase buy; ensure availability; consider price lift
2441,2014,61600.0,2025-06-01,2025-07-01,3,Rise,0.32332,0.32332,0.452,0.0347066666666666,0.1899733333333333,0.32332,Increase buy; ensure availability; consider price lift
2022,2007,4600.0,2025-06-01,2025-07-01,3,Rise,0.31773,0.31773,0.286,0.30226,0.0940099999999999,0.31773,Increase buy; ensure availability; consider price lift
2579,2019,104.0,2025-06-01,2025-07-01,3,Rise,0.3161866666666666,0.3161866666666666,0.432,0.1846,0.0672133333333333,0.3161866666666666,Increase buy; ensure availability; consider price lift
4763,2019,7566.0,2025-06-01,2025-07-01,3,Rise,0.30394,0.30394,0.332,0.2616333333333333,0.1024266666666666,0.30394,Increase buy; ensure availability; consider price lift
4706,2024,11280.0,2025-06-01,2025-07-01,3,Rise,0.30336,0.30336,0.424,0.21696,0.05568,0.30336,Increase buy; ensure availability; consider price lift
2438,2003,555.0,2025-06-01,2025-07-01,3,Rise,0.29744,0.29744,0.376,0.23712,0.08944,0.29744,Increase buy; ensure availability; consider price lift
3143,2019,6120.0,2025-06-01,2025-07-01,3,Rise,0.2913533333333333,0.2913533333333333,0.362,0.28072,0.0659266666666666,0.2913533333333333,Increase buy; ensure availability; consider price lift
2442,2021,42618.0,2025-06-01,2025-07-01,3,Rise,0.28796,0.28796,0.448,0.23736,0.02668,0.28796,Increase buy; ensure availability; consider price lift
4707,2024,135.0,2025-06-01,2025-07-01,3,Rise,0.2870999999999999,0.2870999999999999,0.406,0.2475,0.0594,0.2870999999999999,Increase buy; ensure availability; consider price lift
2409,2003,1123.2,2025-06-01,2025-07-01,3,Rise,0.2792666666666667,0.2792666666666667,0.41,0.2527166666666667,0.0580166666666666,0.2792666666666667,Increase buy; ensure availability; consider price lift
1402,2011,1856.0,2025-06-01,2025-07-01,3,Rise,0.27864,0.27864,0.352,0.26352,0.10584,0.27864,Increase buy; ensure availability; consider price lift
1414,2019,7362.0,2025-06-01,2025-07-01,3,Rise,0.27435,0.27435,0.41,0.2399333333333333,0.0757166666666666,0.27435,Increase buy; ensure availability; consider price lift
3703,2019,6942.0,2025-06-01,2025-07-01,3,Rise,0.2652533333333333,0.2652533333333333,0.314,0.2172333333333333,0.2035133333333333,0.2652533333333333,Increase buy; ensure availability; consider price lift
1990,2023,28088.0,2025-06-01,2025-07-01,3,Rise,0.26016,0.26016,0.458,0.2204133333333333,0.0614266666666666,0.26016,Increase buy; ensure availability; consider price lift
1105,2011,3465.0,2025-06-01,2025-07-01,1,Drop,0.6641733333333334,0.46492133333333335,0.128,0.6641733333333334,0.0886533333333333,0.1191733333333333,Trim orders; consider price/promo; watch sell-through
1010,2008,736.0,2025-06-01,2025-07-01,1,Drop,0.6599633333333333,0.4619743333333333,0.122,0.6599633333333333,0.0599966666666666,0.1580399999999999,Trim orders; consider price/promo; watch sell-through
1107,2011,2208.0,2025-06-01,2025-07-01,1,Drop,0.65534,0.458738,0.094,0.65534,0.09362,0.15704,Trim orders; consider price/promo; watch sell-through
1181,2004,3762.0,2025-06-01,2025-07-01,1,Drop,0.6425333333333333,0.44977333333333325,0.024,0.6425333333333333,0.1350133333333333,0.1984533333333333,Trim orders; consider price/promo; watch sell-through
1137,2013,16075.0,2025-06-01,2025-07-01,1,Drop,0.6399366666666666,0.4479556666666666,0.018,0.6399366666666666,0.1587566666666666,0.1833066666666666,Trim orders; consider price/promo; watch sell-through
3718,2005,3900.0,2025-06-01,2025-07-01,1,Drop,0.6314933333333334,0.4420453333333333,0.048,0.6314933333333334,0.1221733333333333,0.1983333333333333,Trim orders; consider price/promo; watch sell-through
3595,2005,3420.0,2025-06-01,2025-07-01,1,Drop,0.6217466666666667,0.43522266666666665,0.156,0.6217466666666667,0.0393866666666666,0.1828666666666666,Trim orders; consider price/promo; watch sell-through
3306,2019,10100.0,2025-06-01,2025-07-01,1,Drop,0.5868800000000001,0.410816,0.214,0.5868800000000001,0.02358,0.17554,Trim orders; consider price/promo; watch sell-through
1164,2007,2070.0,2025-06-01,2025-07-01,1,Drop,0.57255,0.400785,0.01,0.57255,0.1056,0.31185,Trim orders; consider price/promo; watch sell-through
1556,2005,2170.0,2025-06-01,2025-07-01,1,Drop,0.56695,0.39686499999999997,0.13,0.56695,0.0348,0.26825,Trim orders; consider price/promo; watch sell-through
1176,2011,3465.0,2025-06-01,2025-07-01,1,Drop,0.55314,0.38719799999999993,0.122,0.55314,0.0892633333333333,0.2355966666666666,Trim orders; consider price/promo; watch sell-through
1684,2013,18099.0,2025-06-01,2025-07-01,1,Drop,0.5500133333333334,0.3850093333333333,0.006,0.5500133333333334,0.2766633333333333,0.1673233333333333,Trim orders; consider price/promo; watch sell-through
1162,2005,2100.0,2025-06-01,2025-07-01,1,Drop,0.54756,0.383292,0.028,0.54756,0.20574,0.2187,Trim orders; consider price/promo; watch sell-through
1845,2003,1260.0,2025-06-01,2025-07-01,1,Drop,0.54197,0.37937899999999997,0.242,0.54197,0.0429533333333333,0.1730766666666666,Trim orders; consider price/promo; watch sell-through
1025,2011,2420.8,2025-06-01,2025-07-01,1,Drop,0.5412,0.37884,0.28,0.5412,0.0395999999999999,0.1392,Trim orders; consider price/promo; watch sell-through
1314,2013,23562.0,2025-06-01,2025-07-01,1,Drop,0.5394,0.37757999999999997,0.13,0.5394,0.06235,0.26825,Trim orders; consider price/promo; watch sell-through
3704,2019,7566.0,2025-06-01,2025-07-01,1,Drop,0.5362,0.37534,0.234,0.5362,0.0791533333333333,0.1506466666666666,Trim orders; consider price/promo; watch sell-through
1269,2005,1595.0,2025-06-01,2025-07-01,1,Drop,0.5342399999999999,0.3739679999999999,0.136,0.5342399999999999,0.08496,0.2448,Trim orders; consider price/promo; watch sell-through
2509,2003,1300.0,2025-06-01,2025-07-01,1,Drop,0.5315333333333333,0.3720733333333333,0.32,0.5315333333333333,0.0476,0.1008666666666666,Trim orders; consider price/promo; watch sell-through
2510,2003,1300.0,2025-06-01,2025-07-01,1,Drop,0.5315333333333333,0.3720733333333333,0.32,0.5315333333333333,0.0476,0.1008666666666666,Trim orders; consider price/promo; watch sell-through
1106,2011,1792.0,2025-06-01,2025-07-01,1,Drop,0.5306566666666667,0.37145966666666663,0.206,0.5306566666666667,0.0688133333333333,0.19453,Trim orders; consider price/promo; watch sell-through
1188,2005,1900.0,2025-06-01,2025-07-01,1,Drop,0.5286500000000001,0.370055,0.03,0.5286500000000001,0.1778333333333333,0.2635166666666667,Trim orders; consider price/promo; watch sell-through
1732,2004,1664.0,2025-06-01,2025-07-01,1,Drop,0.5193433333333333,0.36354033333333324,0.306,0.5193433333333333,0.04858,0.1260766666666666,Trim orders; consider price/promo; watch sell-through
